content,label,cleaned_text
"habis di uptade , tidak bisa boking servis data2 ilang semua udh dimasukin ulang tetep g bisaa",negatif,habis uptade tidak boking servis data ilang dimasukin ulang tetep bisaa
Cukup membantu,positif,bantu
membantu,positif,bantu
"bermanfaat, tidak perlu ribet, tinggal catat semua keluhan ,pilih jam service beres",positif,manfaat tidak ribet tinggal catat keluh pilih jam service beres
"good app, easy to our car maintenance booked.",positif,good aplikasi easy to our car maintenance booked
"teknisinya ramah dan komunikatif dalam melakukan tugasnya,serta ruang tunggunya nyaman jaga terus kualitas pelayanan.",positif,teknisi ramah komunikatif tugas ruang tunggu nyaman jaga kualitas layan
aplikasi jelas membantu,positif,aplikasi bantu
layanan baik,positif,layan
"sangat puas,dgn pelayananya.👍👍👍",positif,puas pelayananya
praktis,positif,praktis
Bagus,positif,bagus
Sangat membantu untuk layanan service,positif,bantu layan service
mantap,positif,mantap
Mantap,positif,mantap
lumayan ok,positif,lumayan ok
keren,positif,keren
"area untuk penulisan, penjelasan permasalahan, sangat terbatas. tambahkan jumlah kata yang bisa ditampung! misalnya maksimal 500 atau 700 huruf!",positif,area tulis jelas masalah batas tambah tampung maksimal huruf
mantap trus ya honda makassar indah,positif,mantap trus ya honda makassar indah
responsif,positif,responsif
puas,positif,puas
pelayanannya sangat memuaskan,positif,layan muas
sangat efisien,positif,efisien
biasanya di Honda Union kini beralih ke Honda Bin tang Cimone,positif,honda union alih honda bin tang cimone
"Pelayanan di Gajah Motor Bypass Padang kurang bagus, saya booking via aplikasi jam 08.30 padahal saya sudah standby sebelum jam 08.30 tetapi jam 08.45 baru dilayani, kalau karyawan Customer Service masuk jam 08.30 kenapa terima layanan service sebelum jam 08.30 ada, kan Customer jadi menunggu cukup lama untuk dilayani..",negatif,layan gajah motor bypass padang kurang bagus booking via aplikasi jam standby jam jam layan karyawan customer service masuk jam terima layan service jam customer tunggu layan
good aplikasi,positif,good aplikasi
habis upgrade sering lelet,negatif,habis upgrade lelet
pelayanan baik,positif,layan
tidak bisa mendaftarkan mobil padahal sudah di coba berulang kali,negatif,tidak daftar mobil coba ulang kali
mantap praktis,positif,mantap praktis
aplikasi bagus,positif,aplikasi bagus
adanya app ini memudahkan saya booking,positif,aplikasi mudah booking
layanan prima dan memuaskan,positif,layan prima muas
sangat membantu customer,positif,bantu customer
Booking Service lewat Honda e-care nya sangat membantu sekali.,positif,booking service honda care nya bantu
Perfect,positif,perfect
"Respon cepat, pengerjaan cepat dan sesuai",positif,respon cepat kerja cepat sesuai
service berkala di Honda paling mantap,positif,service kala honda mantap
Pelayanan yang selalu memuaskan,positif,layan muas
memudahkan dalam booking service 😁👍,positif,mudah booking service
pelayanannya mantap,positif,layan mantap
Honda Prima Harapan Indah pokoknya keren dan bagus bisa dipercaya🙏,positif,honda prima harap indah pokok keren bagus percaya
mudah dan cepat,positif,mudah cepat
sangat membantu aplikasi. sukses honda. masukan perbaikannya agar ditindaklanjuti,positif,bantu aplikasi sukses honda masuk baik ditindaklanjuti
"pelayanan yg ramah , & serfis yg memuaskan",positif,layan yg ramah serfis yg muas
memudahkan booking service,positif,mudah booking service
oke banget,positif,oke banget
"hbis update, menu tdk bisa klik apa²",negatif,hbis update menu tidak klik
ok pelayanan ny,positif,ok layan ny
Aplikasi nya mudah dan sederhana serta applicable....,positif,aplikasi nya mudah sederhana applicable
Aplikasi Mantap,positif,aplikasi mantap
aplikasi ini sngat membantu,positif,aplikasi sngat bantu
"tanggal 27 update tiba2 pilihan dalam aplikasi tidak bisa di klik seperti booking,iklan dan voucher... namun ketika logout iklan bisa di klik...",positif,tanggal update pilih aplikasi tidak klik booking iklan voucher logout iklan klik
semoga selalu terdepan dan amanah deker Honda Ahmad yani,positif,moga depan amanah deker honda ahmad yani
mantap sangat membantu praktis booking service,positif,mantap bantu praktis booking service
Tempatnya nyaman,positif,tempat nyaman
Terimakasih,positif,terimakasih
mudah dan menarik tampilannya,positif,mudah tarik tampil
Good Services,positif,good services
"bagus, informasi lengkap",positif,bagus informasi lengkap
bagus pelayanan nya,positif,bagus layan nya
Pelayanannya bagus,positif,layan bagus
aplikasinya sangat membantu,positif,aplikasi bantu
Honda e-Care amat memudahkan booking servis. Keren!,positif,honda care mudah booking servis keren
mudah navigasinya. sangat memudahkan,positif,mudah navigasi mudah
APROVE,positif,aprove
Sangat membantu sekali dengan adanya aplikasi ini.,positif,bantu aplikasi
service di Honda IBRM cimahi luar biasa pelayanannya..,positif,service honda ibrm cimahi layan
pelayanan Bagus,positif,layan bagus
baguss dan cepat.,positif,baguss cepat
pelayanan selama ini baik,positif,layan
sangat baik pelayanan nya👍👍👍,positif,layan nya
aplikasinya mudah digunakan,positif,aplikasi mudah
pelayanannya sangan baik,positif,layan sangan
bagus sekali baru pertamakali,positif,bagus pertamakali
dengan booking servis kita tidak perlu menunggu terlalu lama,positif,booking servis tidak tunggu
service excellence,positif,service excellence
bermanfa at,positif,bermanfa at
Mantap banget pelayanannya,positif,mantap banget layan
bagus aplikasi nya,positif,bagus aplikasi nya
pelayanan yg ramah dengan fasilitas yang nyaman,positif,layan yg ramah fasilitas nyaman
the best,positif,the best
pelayanan service yg prima,positif,layan service yg prima
mudah daftarnya dan pelayanannya ramah,positif,mudah daftar layan ramah
sangat sempurna,positif,sempurna
Sangat Membantu,positif,bantu
simpel dan praktis,positif,simpel praktis
pelayanan dan service mantap,positif,layan service mantap
sangat membantu aplikasinya,positif,bantu aplikasi
mudah digunakan dan informatif,positif,mudah informatif
aplikasi yang bagus untuk pengguna mobil Honda,positif,aplikasi bagus guna mobil honda
"pelayanan sangat bagus, dan fasilitas nyaman",positif,layan bagus fasilitas nyaman
pelanan baik dalam penyampaian juga detail murah senyum ok pokok nya,positif,pelan sampai detail murah senyum ok pokok nya
harusnya ada marketplcae suku cadang beserta harganya dari mulai bamper serta stir dll biar kami bisa ada rezeki tambahan Takutnya mahal kalo udah tahu harganya kan bagi kaum pas2an sudah bisa mengira-ngira kurang lbh segitu kalo datang ke ahas,negatif,marketplcae suku cadang serta harga bamper stir dll biar rezeki tambah takut mahal kalo harga kaum pas an ngira kurang lbh segitu kalo ahas
pelayanan baik tingkatkan lagi....,positif,layan tingkat
service excellent,positif,service excellent
sangat mmbantu,positif,mmbantu
pelayanan selama ini sangat bagus,positif,layan bagus
"Memudahkan apabila mau booking, sementara belum ada kendala",positif,mudah booking belum kendala
Aplikasi berfungsi baik dan sangat membantu.,positif,aplikasi fungsi bantu
Good,positif,good
"Sangat membantu sekali, kedepan semoga lebih ditingkatkan lagi",positif,bantu depan moga tingkat
membantu sekali untuk booking service,positif,bantu booking service
Aplikasi user friendly,positif,aplikasi user friendly
baguss,positif,baguss
setiap servis dari mulai penerimaan sampai pelayanan sangat memuaskan terimakasih Honda auto serang...,positif,servis terima layan muas terimakasih honda auto serang
good job cepat aplikasi,positif,good job cepat aplikasi
pelayanan memuaskan,positif,layan muas
lokasi strategis,positif,lokasi strategis
Kemudahan dalam penggunaan,positif,mudah guna
bermanfaat,positif,manfaat
sangat membantu dengan aplikasi ini,positif,bantu aplikasi
cukup memuaskan kami berharap ke depan lebih baik lagi,positif,muas harap
booking service lebih mudah 👍👍👍,positif,booking service mudah
lancar,positif,lancar
pelayanannya bagus,positif,layan bagus
cara booking servisnya mudah,positif,booking servis mudah
Pelayan bagus dan tepat waktu,positif,layan bagus
Service baik dan profesional,positif,service profesional
sangat membantu sekali untuk perawatan maupun perbaikan mobil.. good job..,positif,bantu awat baik mobil good job
dengan booking service lebih enak dan ga ribet...stiap service berkala selalu mamakai aflikadi ini..👍👍,positif,booking service enak tidak ribet stiap service kala mamakai aflikadi
Layanan Service Gratis Pertama sangat memuaskan,positif,layan service gratis muas
Tempat yang menyenangkan untuk kebutuhan Honda Anda,positif,senang butuh honda
good app,positif,good aplikasi
mantabs... smooth bener aplikasi ini😃,positif,mantabs smooth bener aplikasi
nice,positif,nice
mempermudah,positif,mudah
"mudah untuk booking nya, 👍",positif,mudah booking nya
"mudah, cepat dan tidak antri",positif,mudah cepat tidak antri
App Usher Friendly,positif,aplikasi usher friendly
sangat bermanfaat,positif,manfaat
membantu sekali app ini,positif,bantu aplikasi
mantab pelayanannya,positif,mantab layan
pelayanan yang sangat di butuhkan penggunaan kendaraan,positif,layan butuh guna kendara
proses booking cepat,positif,proses booking cepat
very helpfull,positif,very helpfull
sangat membantu booking service,positif,bantu booking service
pelayanannya cepat,positif,layan cepat
sangat membantu untuk booking servis berkala,positif,bantu booking servis kala
mantab,positif,mantab
"overall fasilitas honda e-care sangat membantu, thanks Honda kedepan lebih maju lagi",positif,overall fasilitas honda care bantu thanks honda depan maju
bagus mantap,positif,bagus mantap
semakin mudah booking servive,positif,mudah booking servive
simple dan mudah,positif,simple mudah
mantap dan membantu,positif,mantap bantu
fast respon Terima kasih,positif,fast respon terima kasih
"sangat membantu saat booking service, jadi ngak usah kebengkel pagi pagi",positif,bantu booking service ngak bengkel pagi pagi
sejauh ini lumayan,positif,lumayan
mantab dan terus dikembangkan,positif,mantab kembang
"cool guys, no ribet",positif,cool guys no ribet
Booking service mobil Honda yang mudah dan cepat tanpa kendala jarak dan waktu,positif,booking service mobil honda mudah cepat kendala jarak
memudahkan pecinta honda untuk service,positif,mudah cinta honda service
mudah dan memuaskan,positif,mudah muas
"melakukan service harus sesuai sop agar kebersihan. keamanan, perlengkalan kendaraan terjaga dg aman/baik.",positif,service sesuai sop bersih aman perlengkalan kendara jaga dg aman
keren gak perlu antri,positif,keren tidak antri
Mudah mudah cepet dan ga banyak biaya,positif,mudah mudah cepet tidak biaya
bagus sangat membantu,positif,bagus bantu
bagus dan mempermudah untuk pelayanan service dan informasi lain nya,positif,bagus mudah layan service informasi nya
"Pelayananya baik ,dengan hasil servic yg baik.",positif,pelayananya hasil servic yg
"great app,, memudahkan service mobil",positif,great aplikasi mudah service mobil
pengerjaan sangat teliti,positif,kerja teliti
"SDH hampir 2 bln saya ajukan cleam waranty terkait Shok belakang brv prestige 2022 sya di Honda auto serang TDK ada kelanjutan, minimal ada pemberitahuan KPD knsmn harus gmn? Jadi saya anggap kebohongan waranty Honda nya TDK terbukti apalagi nanti ada masalah di bagian part lainya ( mesin) no saya terdaftar di Honda dan gampang menghubunginya",positif,sdh bln aju cleam waranty kait shok brv prestige sya honda auto serang tidak lanjut minimal pemberitahuan kpd knsmn gmn anggap bohong waranty honda nya tidak bukti part lai mesin no daftar honda gampang hubung
mantab sangat membantu,positif,mantab bantu
pelayanan yang sangat baik ke Customer,positif,layan customer
pelayanan cukup baik,positif,layan
cukup bagus,positif,bagus
lebih praktis,positif,praktis
"Sangat Bermantaat & Membantu, Terima Kasih",positif,bermantaat bantu terima kasih
"Pelayanan Honda sangat bagus terhadap pembeli, cepat, dan informaainya mudah di mengerti, sehingga pembeli meras puas belanja di honda.",positif,layan honda bagus beli cepat informaainya mudah erti beli ras puas belanja honda
krg dengan org bengkel tepatnya honda kumala karawang,negatif,krg org bengkel tepat honda mala karawang
Tempat nyaman dan pelayanan cepat,positif,nyaman layan cepat
ini sangat membantu sekali,positif,bantu
mudah bokingnya,positif,mudah bokingnya
Ga bisa di daftarkan kendaraan nya,negatif,tidak daftar kendara nya
"Sudah 4 kali service berjalan dengan baik, kecuali service terakhir disarankan spooring... 🤭",positif,kali service jalan kecuali service saran spooring
merasa puas...,positif,puas
"harus di perbaiki lagi mau masuk login kata sandi aja susah dan kenapa ada waktu di jatah 5 menit sedang kn kita mau servis mobil aja harus ribet seperti ini,gimana mau bersaing dengan yg lain",negatif,baik masuk login sandi susah jatah menit kn servis mobil ribet gimana saing yg
"Ok memudahkan booking servis, dll",positif,ok mudah booking servis dll
cepat sigap ramah dan teliti dlm service,positif,cepat sigap ramah teliti dlm service
terbaiiiiiiikkkk......,positif,baik
Alhamdulillah bermanfaat,positif,alhamdulillah manfaat
alhmdllh pelayanan sagat baik dan tempat tunggu sangat yaman,positif,alhmdllh layan sagat tunggu yaman
informatif dan Solutif,positif,informatif solutif
pelayanan ok,positif,layan ok
sangat mudah sekali,positif,mudah
Sangat membantu,positif,bantu
sangat memuaskan,positif,muas
mudah dan praktis,positif,mudah praktis
kereen,positif,kereen
"sipp, memudahkan pelayanan",positif,sipp mudah layan
Pelayanannya memuaskan,positif,layan muas
"ok, tingkat kwalitas perbaikan",positif,ok tingkat kwalitas baik
sangat bagus,positif,bagus
lebih mudah,positif,mudah
jossss,positif,jos
Sangat membantu👍,positif,bantu
mempermudah untuk jadwal servis dll,positif,mudah jadwal servis dll
menpermudah ambil no antrian,positif,menpermudah ambil no antri
Service Honda selalu di sini. Tempatnya nyaman. Pelayanan baik.,positif,service honda tempat nyaman layan
"pelayanan sangat bagus skali,detail bagus",positif,layan bagus skali detail bagus
"Honda i-Care adalah layanan purna jual yang ditawarkan oleh Honda untuk memberikan kepuasan pelanggan. Layanan ini mencakup berbagai aspek, mulai dari perawatan berkala hingga perbaikan kerusakan. Pengalaman saya dengan Honda i-Care cukup positif, meskipun ada beberapa poin yang bisa ditingkatkan. Kelebihan: - Kemudahan Akses: Menjadwalkan servis melalui aplikasi atau website Honda i-Care sangat mudah dan praktis. Sistem online ini memberikan informasi yang jelas tentang jadwal, biaya, d",positif,honda care layan purna jual tawar honda puas langgan layan cakup aspek awat kala baik rusa alam honda care positif poin tingkat lebih mudah akses jadwal servis aplikasi website honda care mudah praktis sistem online informasi jadwal biaya
Ok,positif,ok
Pelayanan profesional,positif,layan profesional
Menu Inbok tidak bisa di buka.,positif,menu inbok tidak buka
aplikasi ini sangat membantu untuk booking service tanpa harus repot antri lg..bisa tentuin sendiri waktu buat service nya,positif,aplikasi bantu booking service repot antri lg tentuin service nya
aplikasinya enak di pakai,positif,aplikasi enak pakai
"mudah, mantap Honda",positif,mudah mantap honda
ok sangat bermanfaat,positif,ok manfaat
Aplikasi ini sangat membantu saat mau service berkala dan layanan darurat. terus sempurnakan fiturnya,positif,aplikasi bantu service kala layan darurat sempurna fiturnya
bgus,positif,bgus
top,positif,top
idem,positif,idem
siiip,positif,sip
"aplikasi bagus, membantu dan memudahkan customer",positif,aplikasi bagus bantu mudah customer
Pelayanan cukup bagus,positif,layan bagus
Pelayanan Honda yang sangat ramah,positif,layan honda ramah
sangat membantu untuk booking servis,positif,bantu booking servis
bermanfaat sekali,positif,manfaat
pelayanan nya baik dan ramah,positif,layan nya ramah
detailnya lengkap mudah diakses trnsparan dlm pengerjaan service kendaraan👍,positif,detail lengkap mudah akses trnsparan dlm kerja service kendara
semuanya jadi lebih mudah dan cepat,positif,mudah cepat
pelayanan cepat,positif,layan cepat
Lancarkan semua situs,positif,lancar situs
sejauh ini aplikasinya berjalan dengan baik,positif,aplikasi jalan
Respon cepat,positif,respon cepat
pelayanan prima,positif,layan prima
Pelayanannya sangat baik dan ramah tempatnya nyaman👍👍👍👍👍👍👍,positif,layan ramah tempat nyaman
Simple,positif,simple
bagus untuk semua keseluruhannya,positif,bagus
sampai saat ini aplikasi ini sangat membantu 👍🏼,positif,aplikasi bantu
"Aplikasi tidak ada reminder booking, klo lupa ya percuma saja.. harusnya ada reminder dan menu re-schedule.",negatif,aplikasi tidak reminder booking klo lupa ya reminder menu re schedule
sangat membantu dengan adanga honda e-care,positif,bantu adanga honda care
siip,positif,siip
penanganan cepat,positif,tangan cepat
mudah digunakan.,positif,mudah
memudahkan untuk booking service,positif,mudah booking service
ringkas dan mudah digunakan,positif,ringkas mudah
Aplikasi sangat membantu sekali walaupun ganti atau tambah unit mobil Honda lainnya,positif,aplikasi bantu ganti unit mobil honda
dengan adanya booking service memudahkan pelanggan untuk daftar antrean online.,positif,booking service mudah langgan daftar antre online
Bagus dan ada catatan maintenance,positif,bagus catat maintenance
mantap lancar,positif,mantap lancar
Terpercaya,positif,percaya
Sangat bagus,positif,bagus
sangat mudah,positif,mudah
sangat responsip dan membantu dalam booking service,positif,responsip bantu booking service
keren..,positif,keren
lebih mempermudah,positif,mudah
good Job,positif,good job
pada pengisian : tanpa service berkala hanya satu pilihan yaitu 72 bulan/120.000 km. Sebaiknya bisa diisi sesuai km mobil,positif,isi service kala pilih km isi sesuai km mobil
Mantep,positif,mantep
"adanya booking service dari honda e-care sangat membantu sekali, good job👍👍👍",positif,booking service honda care bantu good job
masih agak bingung,positif,bingung
sangat puas,positif,puas
bagus aplikasi sangat membantu,positif,bagus aplikasi bantu
agak ribet di awal karena harus nunggu verifikasi data,positif,ribet nunggu verifikasi data
honda e care memudahkan customer,positif,honda care mudah customer
mempermudah proses booking service 👍,positif,mudah proses booking service
ok sangat berguna,positif,ok guna
pelayanan maksimal,positif,layan maksimal
Booking service yg mudah dan tidak ribet,positif,booking service yg mudah tidak ribet
pelayanan cepat ...pertahankan selalu,positif,layan cepat tahan
pelayanan sangat baik,positif,layan
lebih berguna dan bermanfaat jika ada asumsi rincian biaya service yang di perlukan,positif,guna manfaat asumsi rincian biaya service perlu
mantapp,positif,mantapp
oh yes banget,positif,oh yes banget
Pelayanan sangat bagus cepat di mengerti memuaskan,positif,layan bagus cepat erti muas
tidak perlu menunggu antrian service,positif,tidak tunggu antri service
Mantabs,positif,mantabs
mntappp,positif,mntap
bagus dan membantu costumer dalam melakukan booking service dan lain2,positif,bagus bantu costumer booking service
ok mantap.,positif,ok mantap
ok.mantap,positif,ok mantap
sangat membantu dan the best untuk honda,positif,bantu the best honda
"pelayanan ramah,,dan sangat baik",positif,layan ramah
"sejak sevice berkala yg pertama s.d sekarang sy sllu menggunakn aplikasi Honda e-Care ut booking service, sbb lebih mudah & sllu mendapatkn prioritas dlm pelayanan...",positif,sevice kala yg sllu menggunakn aplikasi honda care ut booking service sbb mudah sllu mendapatkn prioritas dlm layan
boking lancar,positif,boking lancar
"Aplikasi bagus, sangat membantu",positif,aplikasi bagus bantu
ok punya swipp,positif,ok swipp
Sangat puas,positif,puas
"Dijelang akhir tahun 2024 dan memasuki awal tahun 2025, semoga Honda IKM Ciledug semakin ber JAYA dan semakin SUKSES di tahun 2025 ini. Aamiin.",positif,jelang pasuk moga honda ikm ciledug ber jaya sukses aamiin
Bisa booking Service Online disini,positif,booking service online
menu mudah dipahami,positif,menu mudah paham
okay,positif,okay
sangat membantu terutama untuk pemesanan boking services kami yg berlokasi jauh dari dealer/bengkel honda,positif,bantu mesan boking services yg lokasi dealer bengkel honda
"Mantapp aplikasinya, memberikan kemudahan dalam pendaftaran service",positif,mantapp aplikasi mudah daftar service
aplikasi nya oke sih,positif,aplikasi nya oke sih
aplikasi tidak bisa di pakai,negatif,aplikasi tidak pakai
Memudahkan dalam booking service dan update informasi layanan honda lainnya,positif,mudah booking service update informasi layan honda
aplikasi nya bagus dan sangat membantu untuk service dan emergency,positif,aplikasi nya bagus bantu service emergency
"Fast dealer response, good problem handling & solving, comfortable communication",positif,fast dealer response good problem handling solving comfortable communication
"aplikasi cukup membantu, kekuranganya adalah tidak ada menu perhitungan estimasi biaya service",positif,aplikasi bantu kekuranganya tidak menu hitung estimasi biaya service
Aplikasi tidak mendukung LOG IN SIDIK JARI,negatif,aplikasi tidak dukung log in sidik jari
"pelayanan nya bagus, baru booking 1 hari langsung di kerjain ama beres 👍",positif,layan nya bagus booking langsung kerjain ama beres
GooD Aplikasi from Honda e care...,positif,good aplikasi from honda care
"Mau tanya itu bagaimana cara membuka dan mau baca kotak pesan ya , kok gak bisa di klik sama sekali min",positif,buka baca kotak pesan ya tidak klik min
jadi lebih cepat dan efisien,positif,cepat efisien
"Ini kenapa ya aplikasinya ngga bisa dibuka, minta di update tapi ngga muncul ngga bisa di-update. Jadinya sekarang di-update ga bisa, dibuka juga ga bisa. Gimana ni?",positif,ya aplikasi tidak buka update tidak muncul tidak update update tidak buka tidak gimana ni
Good !!!,positif,good
"Pelayanannya sangat cepat dan baik,pertahankan dan tingkatkan.",positif,layan cepat tahan tingkat
susahnya menganti nopol lama dgn nopol baru,positif,susah anti nopol nopol
sangat baik dan mudah,positif,mudah
Mantap. Sangat membantu sekali,positif,mantap bantu
Sangat membantu untuk pengecekan,positif,bantu kece
keren utk layanan konsumen,positif,keren utk layan konsumen
Terimakasih atas layanannya yang selalu memuaskan.,positif,terimakasih layan muas
bagus service appsnya,positif,bagus service appsnya
bagus banget,positif,bagus banget
sangat mudah dan membantu,positif,mudah bantu
mantul banget,positif,mantap banget
Sering logout sendiri dan susah untuk login kembali,negatif,logout susah login
"mantap, cepat dan gampang",positif,mantap cepat gampang
Bug nya banyak banget sinyal full plus wifi gak konek² bener² ni aplikasi,negatif,bug nya banget sinyal full plus wifi tidak konek bener ni aplikasi
booking lebih efisien,positif,booking efisien
jhoss gandhos,positif,jhoss gandhos
Coba dlu,positif,coba dlu
aplikasi yg mendukung mempermudah booking service dan informasi informasi yang lainnya,positif,aplikasi yg dukung mudah booking service informasi informasi
mantap sekali,positif,mantap
oke oke Mantap,positif,oke oke mantap
Jadi gampang buat boking servicenya,positif,gampang boking servicenya
sepp dah..,positif,sepp dah
ok sangat membantu,positif,ok bantu
sudah memadai dan pertahankan,positif,pada tahan
sangat membantu. trimakasih,positif,bantu trimakasih
"pelayanan baik dan cepat respon petugasnya, ruang tunggu dan fasilitasnya baik",positif,layan cepat respon tugas ruang tunggu fasilitas
sangat mudah di mengerti,positif,mudah erti
Keren layanannya,positif,keren layan
mudah dalam melakukan pendaftaran,positif,mudah daftar
App yang memudahkan,positif,aplikasi mudah
fungsional banget,positif,fungsional banget
"Mudah digunakan, dan berguna banget. Saran : Hp Android Tema Gelap, kursor huruf tidak muncul",positif,mudah guna banget saran hp android tema gelap kursor huruf tidak muncul
Menarik,positif,tarik
nice APP,positif,nice aplikasi
mantul,positif,mantap
Gampang akses dan prosedur nya. Membantu memudahkan pemilik Honda merawat mobil. Banyak Promonya juga.,positif,gampang akses prosedur nya bantu mudah milik honda rawat mobil promonya
aplikasinya bagus mempermudah customer dan maintenance kendaraan,positif,aplikasi bagus mudah customer maintenance kendara
Gila cuman ngecek2 aja GK ad d lihat mahal x bayaran a mending ke bengkel yg d kenal aja dri pada ke dealer,negatif,gila cuman ngecek tidak ad lihat mahal bayar mending bengkel yg kenal dri dealer
harus byk yg free dan promo,positif,byk yg free promo
durasi waktu pengerjaan service rutin kalau bisa lebih cepat,positif,durasi kerja service rutin cepat
Salah satu aplikasi yang sangat bermanfaat untuk perawatan kendaraan Honda. Alur proses yang simple sehingga memudahkan customer untuk berinteraksi👍Sukses untuk Honda💪,positif,salah aplikasi manfaat awat kendara honda alur proses simple mudah customer berinteraksisukses honda
Aplikasi yang sangat membantu untuk servis mobil. Prosesnya mudah dan cepat,positif,aplikasi bantu servis mobil proses mudah cepat
honda e-care is excellence services.....👍,positif,honda care is excellence services
mudah Di Akses,positif,mudah akses
oke juga,positif,oke
baru coba,positif,coba
"Bagus aplikasi nya , mudah digunakan",positif,bagus aplikasi nya mudah
terbaikkkkkkk,positif,baik
pokoke is the best,positif,pokoke is the best
layanan profesional,positif,layan profesional
aplikasi sangat ok,positif,aplikasi ok
respon cepat,positif,respon cepat
Aplikasi sangat membantu,positif,aplikasi bantu
ringkas,positif,ringkas
kalau bisa waktu pengerjaannya lebih pendek lagi,negatif,kerja pendek
sangat membantu..,positif,bantu
"pelayanan nya ramah, bagus, keren dah LPPM",positif,layan nya ramah bagus keren dah lppm
bagus dan terpercaya,positif,bagus percaya
mempermudah proses dlm antrian boking service,positif,mudah proses dlm antri boking service
terimakasih atas pelayanan yang luar biasa,positif,terimakasih layan
berulang2/sering minta verifikasi berulang2.& ganti2 password,negatif,ulang verifikasi ulang ganti password
aplikasi yang membantu proses service berkala ajib bre,positif,aplikasi bantu proses service kala ajib bre
membantu dan cepat,positif,bantu cepat
Amal didunia,positif,amal dunia
Memuaskan,positif,muas
Pelayanan baik,positif,layan
Jelek banget,negatif,jelek banget
Sy selaku pelanggan Honda HI selama ini tdk ada kendala yg berarti yg saya temukan...tks,positif,langgan honda hi tidak kendala yg yg temu tks
