user;tanggal;score;content;;
Kasmudji Suprijanto;01/06/2025;5;Aplikasi nya mudah dan sederhana serta applicable....;;
Soekarno Hatta;30/05/2025;5;Aplikasi Mantap;;
florentina merry;30/05/2025;5;ok;;
Dedi Ramadhana;30/05/2025;3;menu aplikasinya tdk bisa d sentuh...;;
Lia Dahlia;29/05/2025;5;aplikasi ini sngat membantu;;
Edie Yang;29/05/2025;5;tanggal 27 update tiba2 pilihan dalam aplikasi tidak bisa di klik seperti booking,iklan dan voucher... namun ketika logout iklan bisa di klik...;;
Lexi Tular;29/05/2025;5;keren;;
Ririn Rahayu lestari;28/05/2025;5;semoga selalu terdepan dan amanah deker Honda Ahmad yani;;
sulistyo s;28/05/2025;5;mantap sangat membantu praktis booking service;;
Cepi BKK SMK Tri Mitra;28/05/2025;5;good;;
sukma pt;27/05/2025;5;Tempatnya nyaman;;
roza edison;27/05/2025;5;Terimakasih;;
Sumarsono PLN;27/05/2025;5;mudah dan menarik tampilannya;;
Muhammad Rozali;26/05/2025;5;Good Services;;
afdal wirakusuma;24/05/2025;5;sangat membantu;;
alex jhon;24/05/2025;5;bagus, informasi lengkap;;
Galih Surahamdani;23/05/2025;5;bagus pelayanan nya;;
alfan dikhwan;22/05/2025;5;Pelayanannya bagus;;
rikki saing saing;21/05/2025;5;pelayanan baik;;
akmal mulia;21/05/2025;5;aplikasinya sangat membantu;;
Yeyentimalla Edison;21/05/2025;5;Honda e-Care amat memudahkan booking servis. Keren!;;
Emile Parapat;21/05/2025;5;mudah navigasinya. sangat memudahkan;;
Djati asromo;21/05/2025;5;APROVE;;
Koes Rhiada;21/05/2025;5;👍👍👍👍👍;;
Terang Bersinar;19/05/2025;5;Sangat membantu sekali dengan adanya aplikasi ini.;;
Jannes Jans;19/05/2025;5;service di Honda IBRM cimahi luar biasa pelayanannya..;;
Yayan Prasetiyo;19/05/2025;5;pelayanan Bagus;;
Suddradjat Edy;19/05/2025;5;baguss dan cepat.;;
Kiki Hadi Wiratno;19/05/2025;5;oke;;
Fiko Perina;17/05/2025;5;terbaik;;
Nur Jaini;17/05/2025;5;sangat membantu;;
Husain Muchsen;15/05/2025;5;pelayanan selama ini baik;;
Kota Marabahan;14/05/2025;5;sangat baik pelayanan nya👍👍👍;;
Sukoyo;13/05/2025;5;aplikasinya mudah digunakan;;
Yadi andini;13/05/2025;5;pelayanannya sangan baik;;
heskiano goeltom;12/05/2025;5;good;;
yosep kusnandar;12/05/2025;5;good;;
Nopriati upit;12/05/2025;5;bagus sekali baru pertamakali;;
Dewa sugiarta;11/05/2025;5;baik;;
Ratna Saridewi;10/05/2025;5;dengan booking servis kita tidak perlu menunggu terlalu lama;;
Bambang Sunardi;09/05/2025;5;service excellence;;
Agung Gumelar;08/05/2025;5;good;;
Ade Sulaeman;08/05/2025;5;ok;;
Heru Prasetya;08/05/2025;5;bermanfa at;;
deni djanuar;07/05/2025;5;Mantap banget pelayanannya;;
Jaka;07/05/2025;5;pelayanan bagus;;
udine aladiners;07/05/2025;3;selama ini masih cukup puas pelayanannya;;
david aritonang;07/05/2025;5;mantap;;
Panca Adi;06/05/2025;5;bagus aplikasi nya;;
Amir Hamzah Amir;06/05/2025;5;pelayanan yg ramah dengan fasilitas yang nyaman;;
Hani Sofiyur;06/05/2025;4;the best;;
Jimmy Willis;06/05/2025;5;pelayanan service yg prima;;
Hendra Bayu (Bayu);06/05/2025;5;mudah daftarnya dan pelayanannya ramah;;
RMF Chanel;05/05/2025;5;mantap;;
Hery Rasya;05/05/2025;5;sangat sempurna;;
agus zulkipli;04/05/2025;5;Sangat Membantu;;
rijek sinambela;04/05/2025;5;bagus;;
Febrian Handayani;01/05/2025;5;simpel dan praktis;;
Abdul Hamid;30/04/2025;5;pelayanan dan service mantap;;
Muhammad Paksi Handoyo;29/04/2025;5;sangat membantu aplikasinya;;
teguh wahyudi - Kalila;28/04/2025;5;mudah digunakan dan informatif;;
M Kemal Tarikh;27/04/2025;5;aplikasi yang bagus untuk pengguna mobil Honda;;
Sah adam;27/04/2025;5;pelayanan sangat bagus, dan fasilitas nyaman;;
Fitri lestari;26/04/2025;5;pelanan baik dalam penyampaian juga detail murah senyum ok pokok nya;;
Saeful Anwar;24/04/2025;2;harusnya ada marketplcae suku cadang beserta harganya dari mulai bamper serta stir dll biar kami bisa ada rezeki tambahan Takutnya mahal kalo udah tahu harganya kan bagi kaum pas2an sudah bisa mengira-ngira kurang lbh segitu kalo datang ke ahas;;
Asep Syaripudin;22/04/2025;4;pelayanan baik tingkatkan lagi....;;
Mulkan Matondang;22/04/2025;5;service excellent;;
Adit Revan;22/04/2025;5;sangat mmbantu;;
Budi Hartana;21/04/2025;5;pelayanan selama ini sangat bagus;;
Moekayat File;20/04/2025;5;Memudahkan apabila mau booking, sementara belum ada kendala;;
Ilham Malik;20/04/2025;5;Aplikasi berfungsi baik dan sangat membantu.;;
Nono Sudiono;19/04/2025;5;ok;;
herrico pebriansah;19/04/2025;5;sangat membantu;;
Lukman Cahyadi;19/04/2025;5;good;;
Ambo Enre;18/04/2025;5;Good;;
Fran Nordiansyah;18/04/2025;5;Sangat membantu sekali, kedepan semoga lebih ditingkatkan lagi;;
Avica Cyi;18/04/2025;5;bagus;;
Aida Novianti;18/04/2025;5;pelayanan baik;;
Joko Bintang;17/04/2025;5;membantu sekali untuk booking service;;
ENJANG MUNIP;17/04/2025;5;Aplikasi user friendly;;
RikaSaswanti;16/04/2025;5;baguss;;
Eli Suhaeli;16/04/2025;5;setiap servis dari mulai penerimaan sampai pelayanan sangat memuaskan terimakasih Honda auto serang...;;
RUSDIANTOLaw advokat;15/04/2025;5;ok;;
Rita Trisno;15/04/2025;5;good job cepat aplikasi;;
Soeparna Soeparni;15/04/2025;5;pelayanan memuaskan;;
Grestya Ratu;14/04/2025;5;lokasi strategis;;
nilam sari;14/04/2025;5;baik;;
Dara Darel;14/04/2025;5;Kemudahan dalam penggunaan;;
Tico Wijaya;13/04/2025;5;bermanfaat;;
sou trisno;12/04/2025;5;sangat membantu dengan aplikasi ini;;
ahmad lanang;11/04/2025;5;sangat membantu;;
Iyan Rubiyana;10/04/2025;5;terbaik;;
Syamsul Bahri;10/04/2025;5;cukup memuaskan kami berharap ke depan lebih baik lagi;;
b fahd;09/04/2025;5;bagus;;
Resa Ahyadi; ST;09/04/2025;5;good;
kholili cnc;08/04/2025;5;booking service lebih mudah 👍👍👍;;
Fakih Fauzan;08/04/2025;5;lancar;;
agung Aminudin;08/04/2025;5;pelayanannya bagus;;
Nofvy Atmojo;08/04/2025;5;sangat membantu;;
Ramdani oke oke;08/04/2025;5;bagus;;
Husain Abdul Alim;07/04/2025;5;cara booking servisnya mudah;;
Angga Nugraha;07/04/2025;5;sangat membantu;;
Purwanta;06/04/2025;5;Pelayan bagus dan tepat waktu;;
Ernawatidrg Purwaningsih;04/04/2025;5;Service baik dan profesional;;
Abdi Negara;04/04/2025;5;sangat membantu sekali untuk perawatan maupun perbaikan mobil.. good job..;;
Win Saukani;02/04/2025;5;dengan booking service lebih enak dan ga ribet...stiap service berkala selalu mamakai aflikadi ini..👍👍;;
Ernie Taning;02/04/2025;5;Layanan Service Gratis Pertama sangat memuaskan;;
Andreas Tulus;02/04/2025;5;bagus;;
roissudin muhammad;01/04/2025;5;Tempat yang menyenangkan untuk kebutuhan Honda Anda;;
ricky po;28/03/2025;5;good app;;
Sondi Musa Sonjaya;27/03/2025;5;keren;;
Ariyonas Kristianto;27/03/2025;5;sangat membantu;;
priyo hardono;26/03/2025;5;mantabs... smooth bener aplikasi ini😃;;
mr kubond;26/03/2025;5;good;;
Zara Shaqueena Maharani;26/03/2025;5;👍🏼;;
Muhamad Nuroddin (PauL);25/03/2025;5;good;;
Artha labu91;25/03/2025;5;mantap;;
Master AssassiN;25/03/2025;5;nice;;
Senandung cantik;25/03/2025;5;mempermudah;;
Eni Hartini;25/03/2025;5;mudah untuk booking nya, 👍;;
Iman Kafadriansyah;25/03/2025;5;mudah, cepat dan tidak antri;;
Agus Widarto;25/03/2025;5;App Usher Friendly;;
Trisno Noer;24/03/2025;4;sangat bermanfaat;;
ronnurus shiddiq;22/03/2025;5;membantu sekali app ini;;
Eduard Ambarita Edo;22/03/2025;5;good;;
Naiva Zahra;21/03/2025;5;bagus;;
Ghufran Ardiansyah;21/03/2025;5;mantap;;
Taj Erwin;21/03/2025;5;mantab pelayanannya;;
agus izoer;20/03/2025;5;pelayanan yang sangat di butuhkan penggunaan kendaraan;;
Hendra Hadi;19/03/2025;4;proses booking cepat;;
Budiyanto Musafir;19/03/2025;5;very helpfull;;
Kusumastuti Lailiyah;19/03/2025;4;sangat membantu booking service;;
Wisty Wisty;18/03/2025;4;pelayanannya cepat;;
Herlim;18/03/2025;5;sangat membantu untuk booking servis berkala;;
eko hardiyanto;17/03/2025;5;mantab;;
Agoes Joko;17/03/2025;5;mantab;;
MR Bahua;16/03/2025;5;overall fasilitas honda e-care sangat membantu, thanks Honda kedepan lebih maju lagi;;
Joko Sulistiono;15/03/2025;5;bagus mantap;;
Adrien Presto;15/03/2025;5;ok;;
Agus Winarso2024;15/03/2025;5;semakin mudah booking servive;;
DEDDY OCTORA WIJAYA;14/03/2025;5;simple dan mudah;;
Soeswantoro Soeswantoro;13/03/2025;5;ok;;
Rinto Sdb;13/03/2025;5;mantap dan membantu;;
sulastri;13/03/2025;5;fast respon Terima kasih;;
Brian Mokolomban;13/03/2025;5;sangat membantu;;
Nandar Yanuar;13/03/2025;5;sangat membantu saat booking service, jadi ngak usah kebengkel pagi pagi;;
Cahyadi Harjanto;13/03/2025;4;sejauh ini lumayan;;
Dwi Agus Ardianto;12/03/2025;5;mantab dan terus dikembangkan;;
Haicel Chrisiyanto;12/03/2025;5;cool guys, no ribet;;
sugi harto;12/03/2025;5;Booking service mobil Honda yang mudah dan cepat tanpa kendala jarak dan waktu;;
Andy Jayanto;12/03/2025;5;memudahkan pecinta honda untuk service;;
agung pratama;11/03/2025;5;sangat membantu;;
Yuli Yuli;11/03/2025;5;mudah dan memuaskan;;
fajar hidayat;11/03/2025;5;melakukan service harus sesuai sop agar kebersihan. keamanan, perlengkalan kendaraan terjaga dg aman/baik.;;
Nendi Permana;10/03/2025;5;keren gak perlu antri;;
SOLEH HARTADI;10/03/2025;4;Mudah mudah cepet dan ga banyak biaya;;
Muhamad Rifani;10/03/2025;5;bagus sangat membantu;;
muhammad mahdhar;09/03/2025;3;voucher tidak bisa kami tulis;;
lukmanul hakim;08/03/2025;5;ok;;
Sayuti Ahmad;08/03/2025;5;bagus dan mempermudah untuk pelayanan service dan informasi lain nya;;
Ana Bell;07/03/2025;5;Pelayananya baik ,dengan hasil servic yg baik.;;
Aufar Quinsa;06/03/2025;5;great app,, memudahkan service mobil;;
Moch Fauzi;06/03/2025;3;Pada hp saya tab profil, kendaraan dan pesan tidak bisa di klik. Hp:poco x3 pro. Please Fixing a bugs. Thanks;;
Nadine Azkiya;05/03/2025;5;pengerjaan sangat teliti;;
Dimas Kartaraja;05/03/2025;5;SDH hampir 2 bln saya ajukan cleam waranty terkait Shok belakang brv prestige 2022 sya di Honda auto serang TDK ada kelanjutan, minimal ada pemberitahuan KPD knsmn harus gmn? Jadi saya anggap kebohongan waranty Honda nya TDK terbukti apalagi nanti ada masalah di bagian part lainya ( mesin) no saya terdaftar di Honda dan gampang menghubunginya;;
Reni Anjani;05/03/2025;5;mantab sangat membantu;;
widodo jiwanggo;04/03/2025;5;pelayanan yang sangat baik ke Customer;;
Yulian Yulian;04/03/2025;4;pelayanan cukup baik;;
Bambang Hermawanto;04/03/2025;5;cukup bagus;;
Herman Syah;03/03/2025;5;lebih praktis;;
Bradewa Garudatullah;03/03/2025;5;mantap;;
Alfi Rahmanto;03/03/2025;5;Sangat Bermantaat & Membantu, Terima Kasih;;
Sri Warmayanti;03/03/2025;5;Pelayanan Honda sangat bagus terhadap pembeli, cepat, dan informaainya mudah di mengerti, sehingga pembeli meras puas belanja di honda.;;
BOS BESAR;03/03/2025;1;krg dengan org bengkel tepatnya honda kumala karawang;;
Gayus Sumarno;03/03/2025;5;Tempat nyaman dan pelayanan cepat;;
andrie prajuniartho;03/03/2025;5;ini sangat membantu sekali;;
Nurkhanah Harmaji;02/03/2025;5;mudah bokingnya;;
Zenless Project;02/03/2025;1;Ga bisa di daftarkan kendaraan nya;;
agus kuncoro;01/03/2025;5;Sudah 4 kali service berjalan dengan baik, kecuali service terakhir disarankan spooring... 🤭;;
Fredy eka;01/03/2025;5;merasa puas...;;
Perkumpulan Sanggar Silibet;28/02/2025;5;mantap;;
Gunadi Saputra;28/02/2025;1;harus di perbaiki lagi mau masuk login kata sandi aja susah dan kenapa ada waktu di jatah 5 menit sedang kn kita mau servis mobil aja harus ribet seperti ini,gimana mau bersaing dengan yg lain;;
Dede Kusnandar;28/02/2025;5;Ok memudahkan booking servis, dll;;
Capt Moralis;28/02/2025;5;oke;;
Asep Slamet;28/02/2025;5;oke;;
kartini amainah;28/02/2025;5;cepat sigap ramah dan teliti dlm service;;
Maria Ulfa;27/02/2025;5;pelayanan bagus;;
IRWAN TEZA;27/02/2025;5;terbaiiiiiiikkkk......;;
Andri Yanto;27/02/2025;5;Alhamdulillah bermanfaat;;
far dholi;26/02/2025;5;alhmdllh pelayanan sagat baik dan tempat tunggu sangat yaman;;
Andi_Awan Chanel;26/02/2025;5;informatif dan Solutif;;
Arui Ramadhani;26/02/2025;5;pelayanan ok;;
NUR SODIK;26/02/2025;5;good;;
rahyu rahayu;26/02/2025;5;sangat mudah sekali;;
Jo Vanka;25/02/2025;3;sering error aplikasi ini ga bisa di gunakan;;
Pranata Kesuma;24/02/2025;5;Sangat membantu;;
Putu Anindita Saraswati Wiguna;24/02/2025;5;bagus;;
Nas Rullah;24/02/2025;5;sangat memuaskan;;
Cam Copyright;24/02/2025;5;mudah dan praktis;;
robi vernandes;23/02/2025;5;baik;;
Syahripul Mahya;23/02/2025;5;mantap;;
Urip p;23/02/2025;5;ok;;
MR Kurnia;22/02/2025;5;kereen;;
Pahmi Ami;21/02/2025;5;memuaskan;;
mukhammad toha;20/02/2025;5;good;;
Heri kLunting;18/02/2025;5;sipp, memudahkan pelayanan;;
Hendra Alfaridzi;18/02/2025;5;Pelayanannya memuaskan;;
Prarit Subratha;18/02/2025;5;ok, tingkat kwalitas perbaikan;;
Putu Shyera;18/02/2025;5;sangat bagus;;
Arik Purnomo;17/02/2025;5;lebih mudah;;
Valcres;17/02/2025;5;jossss;;
Sigit Wahyudi;17/02/2025;5;Sangat membantu👍;;
Jeje Mulyana;16/02/2025;5;mempermudah untuk jadwal servis dll;;
Rudi yanto;16/02/2025;5;mantap;;
miki mahardi;15/02/2025;5;ok;;
maryadi lagi;15/02/2025;5;menpermudah ambil no antrian;;
Deni Tujuh Sembilan;14/02/2025;5;mantap;;
Rizky Syahdan;13/02/2025;5;sangat membantu aplikasinya;;
Widiono pinot;12/02/2025;5;Service Honda selalu di sini. Tempatnya nyaman. Pelayanan baik.;;
rifki ade;12/02/2025;5;mantap;;
ALPATH story;12/02/2025;5;pelayanan sangat bagus skali,detail bagus;;
Arvin Wijianartha;12/02/2025;5;Honda i-Care adalah layanan purna jual yang ditawarkan oleh Honda untuk memberikan kepuasan pelanggan. Layanan ini mencakup berbagai aspek, mulai dari perawatan berkala hingga perbaikan kerusakan. Pengalaman saya dengan Honda i-Care cukup positif, meskipun ada beberapa poin yang bisa ditingkatkan. Kelebihan: - Kemudahan Akses: Menjadwalkan servis melalui aplikasi atau website Honda i-Care sangat mudah dan praktis. Sistem online ini memberikan informasi yang jelas tentang jadwal, biaya, d;;
Muslihin Muslihin;12/02/2025;5;sangat baik;;
Happy Trisna;12/02/2025;5;Ok;;
Rumah Baru;12/02/2025;5;Pelayanan profesional;;
iank Febriansyah;11/02/2025;5;Menu Inbok tidak bisa di buka.;;
DVT;11/02/2025;5;sangat baik;;
kabar viral borneo;10/02/2025;5;aplikasi ini sangat membantu untuk booking service tanpa harus repot antri lg..bisa tentuin sendiri waktu buat service nya;;
Juan Apriyana;10/02/2025;5;mempermudah;;
TEGUH PUJIATMOKO;10/02/2025;5;aplikasinya enak di pakai;;
dwi mazanova;09/02/2025;5;mudah, mantap Honda;;
Yadi Suharyadi;09/02/2025;4;Sangat membantu;;
ERIANSJAH LESMANA;08/02/2025;3;Butuh penjelasan respon Honda utk kebocoran ban bagi CRV Hybrid krn tidak punya banyak serep;;
Wahid Surahman;07/02/2025;5;ok sangat bermanfaat;;
beni oktopiansah;07/02/2025;5;Aplikasi ini sangat membantu saat mau service berkala dan layanan darurat. terus sempurnakan fiturnya;;
Rifqi Ahmad;07/02/2025;5;bgus;;
edwin gustiawan;06/02/2025;5;top;;
suyadi cakra;06/02/2025;4;idem;;
Rizal Falani;06/02/2025;5;siiip;;
Vera Wati;05/02/2025;5;mempermudah;;
Uum Pajriah;05/02/2025;5;ok;;
sugeng 1575;05/02/2025;4;aplikasi bagus, membantu dan memudahkan customer;;
Emha Hussein;04/02/2025;5;Pelayanan cukup bagus;;
Stepanus Catur Prasetyo;04/02/2025;5;mantap;;
Open World;03/02/2025;5;Pelayanan Honda yang sangat ramah;;
Angga eka ardhista;03/02/2025;5;sangat membantu untuk booking servis;;
Romli Romli (asep);03/02/2025;5;bermanfaat sekali;;
Mamun Nawawi;03/02/2025;5;pelayanan nya baik dan ramah;;
nanda Najmi;02/02/2025;5;detailnya lengkap mudah diakses trnsparan dlm pengerjaan service kendaraan👍;;
Ninis Anggraini;02/02/2025;5;bagus;;
Rahayu Sri wastuti;01/02/2025;5;semuanya jadi lebih mudah dan cepat;;
erwin susanto;01/02/2025;3;sering diminta update app;;
emir muslim;01/02/2025;5;pelayanan cepat;;
Ruwadi Budiman;01/02/2025;5;Lancarkan semua situs;;
Marcho Vicenso;31/01/2025;4;sejauh ini aplikasinya berjalan dengan baik;;
bramantya kurniawan;30/01/2025;5;mantap;;
Erna Londa;30/01/2025;5;Respon cepat;;
Mecca channel;30/01/2025;5;pelayanan prima;;
Munib Al Ikroom;30/01/2025;5;Pelayanannya sangat baik dan ramah tempatnya nyaman👍👍👍👍👍👍👍;;
dian anggraeni;30/01/2025;5;Simple;;
wahyu eko;29/01/2025;5;bagus untuk semua keseluruhannya;;
Dhani Darmawan;29/01/2025;5;sampai saat ini aplikasi ini sangat membantu 👍🏼;;
Dennis Sitompul;29/01/2025;5;nice;;
Usman Yusup;28/01/2025;2;Aplikasi tidak ada reminder booking, klo lupa ya percuma saja.. harusnya ada reminder dan menu re-schedule.;;
yahya setiawan;27/01/2025;5;good;;
nyimas dewi;27/01/2025;5;sangat membantu dengan adanga honda e-care;;
